cptcode|amount
99307|19809.52
99082|17867.00
99156|1578.84
99022|4453.18
99899|11178.81
99824|9574.03
99689|699.36
99981|14925.69
99695|291.12
99239|3974.07
99453|1806.99
99045|2575.86
99738|19780.44
99110|17587.36
99943|3321.89
99655|13007.36
99014|7090.77
99471|7619.31
99362|8224.69
99739|206.27
99207|7118.54
99769|4637.03
99385|19757.44
99150|19596.33
99521|19671.70
99390|13067.33
99673|17555.66
99377|14514.11
99990|6661.17
99284|19911.77
99927|9086.54
99922|11939.00
99081|15163.66
99646|1158.97
99180|11849.17
99711|2332.65
99123|12763.36
99276|9051.38
99412|14963.98
99952|15712.72
99313|5128.73
99959|15026.05
99156|11454.01
99160|11530.55
99520|385.98
99893|3189.06
99806|14359.81
99516|3689.69
99328|12487.93
99117|12474.00
99527|1300.84
99955|16598.63
99056|10966.49
99483|15379.84
99146|18044.00
99981|9663.99
99960|13552.09
99727|11946.84
99384|4908.36
99024|18100.64
99542|11015.79
99931|8744.05
99722|19580.48
99124|7163.23
99633|18432.43
99232|19533.61
99264|9372.51
99601|15876.73
99823|13630.90
99678|14832.81
99988|11213.76
99309|7946.33
99291|12698.71
99624|7919.36
99620|1012.15
99276|17727.03
99485|17517.32
99901|1755.25
99623|10445.66
99113|2988.99
99092|666.21
99987|4494.58
99767|19646.21
99234|13331.18
99897|7805.96
99845|2679.78
99391|872.32
99513|8774.38
99169|18242.59
99830|11594.40
99723|10014.28
99488|5017.35
99060|12449.03
99677|9447.56
99104|17684.95
99577|1299.55
99497|8247.56
99429|18898.14
99833|5524.14
99001|15239.03
