npi|name|addr1|city|state|zipcode
1324011|Remedy Makers|0416 Sugar Point|Washington|District of Columbia|20051
1324012|Sandoz Inc|1 Golf Course Road|Knoxville|Tennessee|37995
1324013|Ventura Corporation LTD|64082 Gerald Point|Kingsport|Tennessee|37665
1324014|Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.|97725 Armistice Point|Fairfield|Connecticut|06825
1324015|Eisai Inc.|411 Steensland Avenue|Virginia Beach|Virginia|23459
1324016|Global Pharmaceuticals, Division of Impax Laboratories Inc.|083 Merrick Parkway|Arlington|Virginia|22244
1324017|Wal-Mart Stores Inc|25 Park Meadow Trail|Carol Stream|Illinois|60351
1324018|Rebel Distributors Corp|3466 Warner Hill|Stamford|Connecticut|06922
1324019|Valeant Pharmaceuticals North America LLC|99598 Bashford Hill|El Paso|Texas|79999
1324010|REMEDYREPACK INC.|9901 Elgar Park|Albany|New York|12205
1324011|MedVantx, Inc.|805 Barnett Court|Des Moines|Iowa|50362
1324012|ABCO Laboratories, Inc|769 Mayer Hill|Knoxville|Tennessee|37914
1324013|Physicians Total Care, Inc.|11 Pankratz Trail|Birmingham|Alabama|35236
1324014|CHANEL PARFUMS BEAUTE|105 Merchant Hill|Boston|Massachusetts|02104
1324015|APP Pharmaceuticals, LLC|6565 Haas Plaza|Richmond|Virginia|23228
1324016|Jubilant HollisterStier LLC|513 Truax Trail|Canton|Ohio|44710
1324017|Uriel Pharmacy Inc.|7 Londonderry Point|Miami|Florida|33261
1324018|Save-A-Lot Food Stores Ltd|9 Bartillon Junction|Muskegon|Michigan|49444
1324019|Physician Therapeutics LLC|01190 Hanover Road|New York City|New York|10105
1324020|A-S Medication Solutions LLC|65 High Crossing Court|Bronx|New York|10474
1324021|Forces of Nature|234 Monica Center|Greensboro|North Carolina|27404
1324022|Tiger Balm (Malaysia) Sdn. Bhd.|34232 Blaine Drive|Apache Junction|Arizona|85219
1324023|H.J. Harkins Company, Inc.|951 Calypso Place|Houston|Texas|77065
1324024|Major Pharmaceuticals|67887 Glendale Street|Clearwater|Florida|33758
1324025|REMEDY MAKERS|03 Walton Plaza|Austin|Texas|78789
1324026|Family Dollar|756 Corben Parkway|Ashburn|Virginia|22093
1324027|H.J. Harkins Company, Inc.|9360 Schurz Hill|Anaheim|California|92805
1324028|CVS|82 Boyd Trail|Concord|California|94522
1324029|Parfums Christian Dior|47828 Fremont Way|Washington|District of Columbia|20244
1324030|Physicians Total Care, Inc.|2 Thierer Plaza|Florence|South Carolina|29505
1324031|Moore Medical LLC|665 Merry Place|Albany|New York|12227
1324032|ESTEE LAUDER INC|7 Del Sol Court|Fairbanks|Alaska|99790
1324033|Walgreen Company|845 American Center|Saint Louis|Missouri|63143
1324034|HEALTHPOINT, LTD|58 Farmco Circle|Miami|Florida|33134
1324035|Laboratoires Clarins S.A|17 Atwood Point|Oklahoma City|Oklahoma|73152
1324036|Nelco Laboratories, Inc.|59 Oak Valley Court|Lubbock|Texas|79452
1324037|Reckitt Benckiser LLC|29 Summit Street|Charleston|West Virginia|25362
1324038|Guna spa|83141 Forster Terrace|Houston|Texas|77010
1324039|DZA Brands LLC|47683 Morrow Road|Pittsburgh|Pennsylvania|15230
1324040|Legacy Pharmaceutical Packaging|1872 Golf View Court|Portland|Oregon|97286
1324041|Aidarex Pharmaceuticals LLC|9 Del Sol Junction|Baton Rouge|Louisiana|70826
1324042|Walgreen CO|63 Laurel Lane|Johnson City|Tennessee|37605
1324043|Major Pharmaceuticals|8181 Sunbrook Way|Raleigh|North Carolina|27658
1324044|Rite Aid Corporation|089 Delladonna Avenue|Scranton|Pennsylvania|18505
1324045|Daiichi Sankyo, Inc.|1943 Dakota Avenue|Newark|New Jersey|07112
1324046|Nelco Laboratories, Inc.|3 North Point|Gainesville|Florida|32605
1324047|Wal-Mart Stores Inc|2 Buell Lane|Des Moines|Iowa|50936
1324048|Target Corporation|915 Burrows Circle|San Mateo|California|94405
1324049|NATURE REPUBLIC CO., LTD.|3177 Stang Center|Daytona Beach|Florida|32123
1324050|Aidarex Pharmaceuticals LLC|7 Sutteridge Terrace|Amarillo|Texas|79176
