tax_id|npi|name|addr1|city|state|zipcode
9432436|1324026|Sandoz Inc|96 Roth Drive|Pensacola|FL|32575
9432424|1324040|Akorn, Inc.|70389 Fairfield Center|New York City|NY|10110
9432414|1324019|Rebel Distributors Corp|11196 Northfield Crossing|Baton Rouge|LA|70820
9432441|1324016|Physicians Total Care, Inc.|92 Kinsman Center|Durham|NC|27705
9432431|1324009|Genzyme Corp.|867 Center Crossing|Honolulu|HI|96815
9432421|1324003|Sandoz Inc|9063 Red Cloud Trail|Brooklyn|NY|11215
9432450|1324042|Watson Laboratories, Inc.|43 Westport Drive|Lincoln|NE|68531
9432432|1324020|Janssen Pharmaceuticals, Inc.|7356 Grim Parkway|Dearborn|MI|48126
9432410|1324037|Cardinal Health|6150 Caliangt Avenue|Fresno|CA|93773
9432412|1324050|Physicians Total Care, Inc.|37543 Sheridan Alley|San Francisco|CA|94116
9432413|1324026|H.J. Harkins Company, Inc.|7 Calypso Court|Columbia|MO|65218
9432436|1324004|Physician Therapeutics LLC|258 Del Mar Park|Mesa|AZ|85210
9432423|1324023|Preferred Pharmaceuticals, Inc.|5480 Garrison Pass|Washington|DC|20508
9432423|1324041|Roxane Laboratories, Inc.|880 Kipling Street|Mobile|AL|36641
9432424|1324009|Bryant Ranch Prepack|5 Carioca Center|Charleston|WV|25313
9432405|1324042|Cardinal Health|473 Meadow Vale Circle|Philadelphia|PA|19184
9432410|1324011|Perrigo New York Inc|647 Londonderry Center|Fort Lauderdale|FL|33355
9432425|1324006|Dermarite Industries LLC|3532 Eagle Crest Way|Albany|GA|31704
9432422|1324043|AvPAK|25 Marcy Crossing|Jeffersonville|IN|47134
9432428|1324005|Amerisource Bergen|53650 Jackson Crossing|Brooklyn|NY|11220
9432427|1324027|Actavis Inc.|80553 Londonderry Road|Hartford|CT|06160
9432450|1324019|Meijer Distribution Inc|60 Bashford Parkway|Montgomery|AL|36125
9432441|1324022|Supervalu Inc|9 Sachtjen Alley|Kansas City|MO|64160
9432440|1324029|Clinical Solutions Wholesale|3855 Muir Court|New Haven|CT|06510
9432422|1324035|Autumn Harp, Inc.|060 Sunfield Court|Temple|TX|76505
9432404|1324006|General Injectables & Vaccines, Inc|4185 Logan Court|North Hollywood|CA|91616
9432449|1324021|Rebel Distributors Corp.|1446 Forster Park|Pensacola|FL|32590
9432448|1324045|JUBILANT CADISTA PHARMACEUTICALS, INC.|2 Sundown Court|Birmingham|AL|35225
9432426|1324041|Reckitt Benckiser LLC|4705 Fordem Place|Springfield|IL|62705
9432413|1324048|Teva Pharmaceuticals USA Inc|3044 Heffernan Avenue|Akron|OH|44321
9432441|1324002|Aphena Pharma Solutions - Tennessee, LLC|05 Bonner Pass|Orlando|FL|32868
9432427|1324037|Benefit Cosmetics, LLC|5784 Northland Park|Waco|TX|76711
9432433|1324024|Breckenridge Pharmaceutical, Inc|61 Corscot Alley|Cedar Rapids|IA|52410
9432432|1324041|Pfizer Laboratories Div Pfizer Inc|4575 Stoughton Crossing|Fort Wayne|IN|46857
9432408|1324040|Allergy Laboratories, Inc.|8 Beilfuss Way|Boston|MA|02283
9432417|1324035|Liddell Laboratories, Inc.|65347 Killdeer Way|Kansas City|MO|64142
9432408|1324022|Actavis Elizabeth LLC|02 Burning Wood Way|Oxnard|CA|93034
9432440|1324030|Proficient Rx LP|0101 Schurz Street|Boise|ID|83705
9432404|1324036|Novartis Pharmaceuticals Corporation|11 Bartillon Street|Fort Wayne|IN|46805
9432411|1324027|Clinical Solutions Wholesale|2208 Dryden Avenue|Panama City|FL|32405
9432442|1324048|North Safety Products|1272 4th Circle|Saint Cloud|MN|56372
9432406|1324034|Costco Wholesale Company|6 Wayridge Avenue|San Antonio|TX|78220
9432432|1324022|Nelco Laboratories, Inc.|7 Gale Place|Lexington|KY|40515
9432443|1324031|Freds Inc|5 Hauk Terrace|Bloomington|IN|47405
9432414|1324047|Lantern Enterprises Ltd|2035 Sycamore Drive|San Jose|CA|95123
9432405|1324024|Greenstone LLC|0 Killdeer Center|Troy|MI|48098
9432435|1324034|Cantrell Drug Company|5880 Manufacturers Drive|Chattanooga|TN|37410
9432411|1324044|American Sales Company|23 Monterey Place|Sacramento|CA|95818
9432422|1324030|Walgreen Company|4607 Paget Pass|Amarillo|TX|79182
9432437|1324024|American Regent, Inc.|92 Stephen Lane|Canton|OH|44705
