cptcode|amount
99274|69.63
99641|35.08
99770|35.95
99135|44.09
99733|96.19
99068|29.66
99667|55.02
99141|90.52
99776|75.94
99706|54.19
99117|53.78
99268|32.52
99680|89.39
99574|60.09
99294|19.15
99190|85.46
99932|34.06
99032|65.78
99603|55.45
99101|66.36
99124|1.2
99332|78.2
99060|17.1
99999|49.47
99281|99.37
99215|76.74
99032|55.56
99839|9.24
99636|42.72
99803|24.19
99035|26.46
99763|51.0
99846|48.59
99450|4.35
99686|98.85
99772|72.1
99301|1.37
99137|87.08
99764|34.2
99539|87.6
99303|58.98
99835|4.33
99019|69.5
99167|1.33
99857|80.17
99855|93.97
99899|73.6
99095|91.92
99028|8.1
99601|61.1
99009|20.45
99590|93.53
99889|98.76
99336|69.13
99105|76.85
99408|58.61
99097|17.46
99813|53.4
99742|62.34
99563|55.16
99669|54.07
99799|65.74
99417|53.94
99313|55.92
99616|83.21
99400|5.2
99143|83.98
99474|91.15
99928|16.65
99667|51.85
99722|94.48
99033|23.23
99402|70.86
99056|13.72
99084|82.41
99259|6.14
99680|27.87
99232|42.99
99583|52.02
99104|67.81
99057|28.7
99347|22.02
99910|16.81
99930|68.92
99051|85.99
99870|2.33
99007|62.32
99272|7.69
99575|73.11
99662|93.94
99928|8.81
99711|84.74
99479|40.03
99830|36.67
99226|24.46
99266|51.24
99426|56.56
99560|97.08
99096|68.5
99287|17.19
